,imdbID,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,rating_cat,genres_code
24328,tt0064117,Cactus Flower,Cactus Flower,1969.0,104.0,Comedy,7.2,11654,high,5
22069,tt0058942,Lone and Angry Man,Una bara per lo sceriffo,1965.0,87.0,Western,5.7,331,middle,26
127953,tt27164713,Bissonnet,Bissonnet,2023.0,117.0,Drama,5.9,35,middle,8
111463,tt1845776,Anaconda: Queen of the Serpents,Anaconda: Queen of the Serpents,2010.0,93.81829253746335,Documentary,4.2,22,middle,7
25314,tt0066265,Pippi on the Run,På rymmen med Pippi Långstrump,1970.0,94.0,Drama,6.8,3987,high,8
64899,tt0339535,The Professional,Profesionalac,2003.0,104.0,Drama,8.4,7128,high,8
47825,tt0140423,Nowhere to Go,Nowhere to Go,1998.0,92.0,Drama,7.4,76,high,8
106941,tt1669793,Kissed by a Crocodile,Kissed by a Crocodile,2003.0,93.81829253746335,Documentary,8.0,11,high,7
167638,tt9614064,Dust Nuggets,Dust Nuggets,2020.0,89.0,Drama,4.3,12,middle,8
94007,tt13326460,Time of Monsters,Zeit der Monster,2020.0,83.0,Comedy,4.3,20,middle,5
159320,tt7456024,Late Night Cable,Late Night Cable,2016.0,57.0,Comedy,5.8,25,middle,5
138561,tt3828058,Family Film,Rodinný film,2015.0,95.0,Drama,6.3,437,middle,8
45421,tt0122308,Waiting Game,Waiting Game,1996.0,93.81829253746335,Drama,8.1,21,high,8
93906,tt1331110,Liar,Menteur,2009.0,78.0,Drama,6.5,42,middle,8
27374,tt0070960,A Slightly Pregnant Man,L'événement le plus important depuis que l'homme a marché sur la Lune,1973.0,96.0,Comedy,5.8,924,middle,5
106702,tt1659325,The Children of the Commune,Die Kinder vom Friedrichshof,2009.0,82.0,Biography,6.4,17,middle,4
158837,tt7343706,Syd Barrett: Up Close and Personal,Syd Barrett: Up Close and Personal,2007.0,57.0,Documentary,6.9,17,high,7
156964,tt6948326,A Man in a Hurry,Un homme pressé,2018.0,100.0,Drama,6.4,1766,middle,8
32595,tt0085482,El Norte,El Norte,1983.0,141.0,Drama,7.7,5511,high,8
45331,tt0121916,Rape in Public Sea,Gung hoi keung gan fung bo,1993.0,91.0,Action,5.1,61,middle,0
133652,tt3249794,Restoring Tomorrow,Restoring Tomorrow,2016.0,82.0,Documentary,8.6,76,high,7
66613,tt0368725,The Fever,The Fever,2004.0,83.0,Drama,5.6,1335,middle,8
75667,tt0819723,Islander,Islander,2006.0,100.0,Drama,6.4,298,middle,8
136991,tt3636130,Backpack,Backpack,2014.0,85.0,Drama,6.5,29,middle,8
8652,tt0030986,Women in Prison,Women in Prison,1938.0,59.0,Drama,5.3,18,middle,8
